32349  06 45 09.25 -16 42 47.3 -1.44  A SIRIUS   
30438  06 23 57.09 -52 41 44.6 -0.62  F CANOPUS  
69673  14 15 40.35 +19 11 14.2 -0.05  K ARCTURUS 
71683  14 39 40.90 -60 50 06.5 -0.01  G RIGEL KEN
91262  18 36 56.19 +38 46 58.8  0.03  A VEGA     
24608  05 16 41.30 +45 59 56.5  0.08  M CAPELLA  
24436  05 14 32.27 -08 12 05.9  0.18  B RIGEL    
37279  07 39 18.54 +05 13 39.0  0.40  F PROCYON  
27989  05 55 10.29 +07 24 25.3  0.45  M BETELGEUS
7588   01 37 42.75 -57 14 12.0  0.45  B ACHERNAR 
68702  14 03 49.44 -60 22 22.7  0.61  B          
97649  19 50 46.68 +08 52 02.6  0.76  A ALTAIR   
60718  12 26 35.94 -63 05 56.6  0.77  B ACRUX    
21421  04 35 55.20 +16 30 35.1  0.87  K ALDEBARAN
65474  13 25 11.60 -11 09 40.5  0.98  B SPICA    
80763  16 29 24.47 -26 25 55.0  1.06  M ANTARES  
37826  07 45 19.36 +28 01 34.7  1.16  K POLLUX   
113368 22 57 38.83 -29 37 18.6  1.17  A FOMALHAUT
102098 20 41 25.91 +45 16 49.2  1.25  A DENEB    
62434  12 47 43.32 -59 41 19.4  1.25  B          
71681  14 39 39.39 -60 50 22.1  1.35  K          
49669  10 08 22.46 +11 58 01.9  1.36  B REGULUS  
33579  06 58 37.55 -28 58 19.5  1.50  B ADHARA   
36850  07 34 36.00 +31 53 19.1  1.58  A          
61084  12 31 09.93 -57 06 45.2  1.59  M GACRUX   
85927  17 33 36.53 -37 06 13.5  1.62  B SHAULA   
25336  05 25 07.87 +06 20 59.0  1.64  B BELLATRIX
25428  05 26 17.50 +28 36 28.3  1.65  B ELNATH   
45238  09 13 12.24 -69 43 02.9  1.67  A MIAPLACID
26311  05 36 12.81 -01 12 06.9  1.69  B ALNILAM  
109268 22 08 13.88 -46 57 38.2  1.73  B AL NA'IR 
26727  05 40 45.52 -01 56 33.3  1.74  O          
39953  08 09 31.96 -47 20 11.8  1.75  W          
62956  12 54 01.63 +55 57 35.4  1.76  A ALIOTH   
15863  03 24 19.35 +49 51 40.5  1.79  F MIRFAK   
90185  18 24 10.35 -34 23 03.5  1.79  B KAUS AUST
54061  11 03 43.84 +61 45 04.0  1.81  F DUBHE    
34444  07 08 23.49 -26 23 35.5  1.83  F          
67301  13 47 32.55 +49 18 47.9  1.85  B ALKAID   
86228  17 37 19.13 -42 59 52.2  1.86  F          
41037  08 22 30.86 -59 30 34.3  1.86  K AVIOR    
28360  05 59 31.77 +44 56 50.8  1.90  A MENKALINA
82273  16 48 39.87 -69 01 39.5  1.91  K ATRIA    
31681  06 37 42.70 +16 23 57.9  1.93  A ALHENA   
42913  08 44 42.20 -54 42 30.8  1.93  A          
100751 20 25 38.85 -56 44 05.6  1.94  B PEACOCK  
11767  02 31 47.08 +89 15 50.9  1.97  F POLARIS  
30324  06 22 41.99 -17 57 21.3  1.98  B MIRZAM   
46390  09 27 35.25 -08 39 31.3  1.99  K ALPHARD  
9884   02 07 10.29 +23 27 46.0  2.01  K HAMAL    
50583  10 19 58.16 +19 50 30.7  2.01  K          
3419   00 43 35.23 -17 59 12.1  2.04  K DIPHDA; D
92855  18 55 15.92 -26 17 47.7  2.05  B NUNKI    
68933  14 06 41.32 -36 22 07.3  2.06  K MENKENT  
112122 22 42 39.93 -46 53 04.4  2.07  M          
27366  05 47 45.39 -09 40 10.6  2.07  B SAIPH    
5447   01 09 43.80 +35 37 15.0  2.07  M MIRACH   
677    00 08 23.17 +29 05 27.0  2.07  B ALPHERATZ
72607  14 50 42.40 +74 09 19.7  2.07  K KOCHAB   
86032  17 34 56.00 +12 33 38.1  2.08  A RASALHAGU
14576  03 08 10.13 +40 57 20.3  2.09  B ALGOL    
9640   02 03 53.92 +42 19 47.5  2.10  B ALMACH   
57632  11 49 03.88 +14 34 20.4  2.14  A DENEBOLA 
4427   00 56 42.50 +60 43 00.3  2.15  B          
61932  12 41 31.20 -48 57 35.6  2.20  A          
45556  09 17 05.43 -59 16 30.9  2.21  A ASPIDISKE
39429  08 03 35.07 -40 00 11.5  2.21  O          
76267  15 34 41.19 +26 42 53.7  2.22  A ALPHECCA 
65378  13 23 55.42 +54 55 31.5  2.23  A MIZAR    
100453 20 22 13.70 +40 15 24.1  2.23  F SADR     
44816  09 07 59.78 -43 25 57.4  2.23  K          
3179   00 40 30.39 +56 32 14.7  2.24  K SCHEDAR  
87833  17 56 36.38 +51 29 20.2  2.24  K ELTANIN  
25930  05 32 00.40 -00 17 56.7  2.25  O MINTAKA  
746    00 09 10.09 +59 09 00.8  2.28  F CAPH     
78401  16 00 20.01 -22 37 17.8  2.29  B          
66657  13 39 53.27 -53 27 58.9  2.29  B          
82396  16 50 10.24 -34 17 33.4  2.29  K          
71860  14 41 55.77 -47 23 17.3  2.30  B          
71352  14 35 30.45 -42 09 27.9  2.33  B          
53910  11 01 50.39 +56 22 56.4  2.34  A MERAK    
72105  14 44 59.25 +27 04 27.0  2.35  A          
107315 21 44 11.14 +09 52 30.0  2.38  K ENIF     
86670  17 42 29.28 -39 01 47.7  2.39  B          
2081   00 26 16.87 -42 18 18.4  2.40  K ANKAA    
58001  11 53 49.74 +53 41 41.0  2.41  A PHECDA   
84012  17 10 22.66 -15 43 30.5  2.43  A          
113881 23 03 46.33 +28 04 56.8  2.44  M SCHEAT   
105199 21 18 34.58 +62 35 07.6  2.45  A ALDERAMIN
35904  07 24 05.71 -29 18 11.2  2.45  B ALUDRA   
45941  09 22 06.83 -55 00 38.5  2.47  B          
102488 20 46 12.43 +33 58 10.0  2.48  K          
113963 23 04 45.62 +15 12 19.3  2.49  B MARKAB   
14135  03 02 16.78 +04 05 23.7  2.54  M MENKAR   
81377  16 37 09.53 -10 34 01.7  2.54  O          
68002  13 55 32.43 -47 17 17.8  2.55  B          
54872  11 14 06.41 +20 31 26.5  2.56  A ZOSMA    
78820  16 05 26.23 -19 48 19.4  2.56  B GRAFFIAS 
25985  05 32 43.81 -17 49 20.3  2.58  F ARNEB    
59196  12 08 21.54 -50 43 20.7  2.58  B          
59803  12 15 48.47 -17 32 31.1  2.58  B GIENAH   
93506  19 02 36.72 -29 52 48.4  2.60  A          
74785  15 17 00.47 -09 22 58.3  2.61  B ZUBENESCH
77070  15 44 16.00 +06 25 31.9  2.63  K UNUKALHAI
8903   01 54 38.35 +20 48 29.9  2.64  A SHERATAN 
61359  12 34 23.23 -23 23 47.8  2.65  G          
26634  05 39 38.94 -34 04 26.6  2.65  B PHACT    
28380  05 59 43.24 +37 12 46.0  2.65  A          
6686   01 25 48.60 +60 14 07.5  2.66  A RUCHBAH  
73273  14 58 31.95 -43 08 01.9  2.68  B          
67927  13 54 41.12 +18 23 54.9  2.68  G MUPHRID  
52727  10 46 46.12 -49 25 12.5  2.69  G          
23015  04 56 59.62 +33 09 58.1  2.69  K          
61585  12 37 11.08 -69 08 07.9  2.69  B          
85696  17 30 45.84 -37 17 44.7  2.70  B LESATH   
35264  07 17 08.56 -37 05 51.0  2.71  K          
97278  19 46 15.57 +10 36 47.8  2.72  K TARAZED  
89931  18 20 59.62 -29 49 40.9  2.72  K KAUS MEDI
80331  16 23 59.51 +61 30 50.7  2.73  G          
79593  16 14 20.77 -03 41 38.3  2.73  M YED PRIOR
52419  10 42 57.43 -64 23 40.1  2.74  B          
61941  12 41 40.00 -01 26 58.3  2.74  F          
26241  05 35 25.98 -05 54 35.6  2.75  O          
72622  14 50 52.78 -16 02 29.8  2.75  A ZUBENELGE
65109  13 20 36.07 -36 42 43.5  2.75  A          
86742  17 43 28.38 +04 34 00.9  2.76  K CEBALRAI 
23875  05 07 51.03 -05 05 10.5  2.78  A CURSA    
84345  17 14 38.86 +14 23 24.9  2.78  M          
